,dt_ini_treinamento,dt_fin_treinamento,dt_ini_validacao,dt_fin_validacao,modelo,beta,sharpe,mod_err,erro
0,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MVE,1.2546131587859575,0.0890227135267257,0.013815450867109114,0.013815450867109114
1,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MEQ,1.043292941499092,0.09008855980967431,0.03885286470091942,0.03885286470091942
2,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MENS,1.0000000000000204,0.11857546548161733,0.08933627882380746,0.08933627882380746
3,2020-01-01,2020-12-01,2020-01-01,2020-12-01,DMINMAX,0.9077611192360672,0.2949838717234947,0.41901485463537846,0.41901485463537846
4,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MADD,0.8539330892634055,0.2852347495702051,0.3765120610661348,0.3765120610661348
5,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MAD,1.0239255246661012,0.105063127654916,0.06499193529354619,0.06499193529354619
6,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MINMAX,0.9833887199964684,0.10252986979336423,0.06336451467840742,0.06336451467840742
7,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MVE,1.3187094797422538,-0.48508403454026494,0.17758830124680225,-0.17758830124680225
8,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MEQ,1.160639938881552,-0.6203528059283212,0.21896154633979237,-0.21896154633979237
9,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MENS,1.158391945395653,-0.6459323437514709,0.22287139535375133,-0.22287139535375133
10,2020-01-01,2020-12-01,2021-01-01,2021-12-01,DMINMAX,1.1347428333496898,-0.44166273965725134,0.14371710426639128,-0.14371710426639128
11,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MADD,1.172166650692423,-0.471990361486087,0.16970116814276415,-0.16970116814276415
12,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MAD,1.1427635278273576,-0.6667283132100639,0.23268148047955028,-0.23268148047955028
13,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MINMAX,1.1875803722141958,-0.6271661069527011,0.22373827323606899,-0.22373827323606899
14,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MVE,1.1107731672245693,-0.7942900992191543,0.28163097643983726,-0.28163097643983726
15,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MEQ,1.2090947568719215,-0.40237547668179563,0.10266282063731158,-0.10266282063731158
16,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MENS,0.9999999999999999,-1.0069637992992186,0.29448442057644175,-0.29448442057644175
17,2021-01-01,2021-12-01,2021-01-01,2021-12-01,DMINMAX,1.1577873001134855,-0.2390495282169776,0.019418127701578802,-0.019418127701578802
18,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MADD,1.2379756383822438,-0.3404037750355101,0.07996678006162805,-0.07996678006162805
19,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MAD,1.2183918124459168,-0.36037753846928794,0.08775606492111243,-0.08775606492111243
20,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MINMAX,1.1630867851599491,-0.25378790838410653,0.02689470820287998,-0.02689470820287998
21,2019-01-01,2019-12-01,2019-01-01,2019-12-01,MVE,0.7812402554784216,0.10853050508443467,0.21654824312257404,-0.21654824312257404
22,2019-01-01,2019-12-01,2019-01-01,2019-12-01,MEQ,0.8009550086635135,0.1899703727221268,0.17834167266709322,-0.17834167266709322
23,2019-01-01,2019-12-01,2019-01-01,2019-12-01,MENS,0.9999999999999993,0.05031313132995555,0.23934933252847634,-0.23934933252847634
24,2019-01-01,2019-12-01,2019-01-01,2019-12-01,DMINMAX,0.8230419744025069,0.0694949339447934,0.23235397157083115,-0.23235397157083115
25,2019-01-01,2019-12-01,2019-01-01,2019-12-01,MADD,0.5141864765937391,0.4999142202761124,0.003072147910506695,-0.003072147910506695
26,2019-01-01,2019-12-01,2019-01-01,2019-12-01,MAD,0.9779588085167739,0.18962724553414456,0.1612987986818899,-0.1612987986818899
27,2019-01-01,2019-12-01,2019-01-01,2019-12-01,MINMAX,0.8230419744025065,0.06949493394479317,0.23235397157083115,-0.23235397157083115
28,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MVE,0.9060457793965596,0.09230854969577171,0.05117152439710071,0.05117152439710071
29,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MEQ,0.9350975249823241,0.11745790798790352,0.08956339625167731,0.08956339625167731
30,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MENS,0.9292069607700347,0.05227766942729319,0.011318512434262962,-0.011318512434262962
31,2019-01-01,2019-12-01,2020-01-01,2020-12-01,DMINMAX,0.8904196097755385,0.09203740912129514,0.05145054537075633,0.05145054537075633
32,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MADD,1.1089339211072018,0.19802319534655063,0.24555382332334585,0.24555382332334585
33,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MAD,1.0925226557354724,0.06517258502685824,0.008497606146876446,-0.008497606146876446
34,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MINMAX,0.8904196097755382,0.09203740912129513,0.05145054537075633,0.05145054537075633
35,2019-01-01,2019-12-01,2021-01-01,2021-12-01,MVE,1.1974243750049696,-0.49993427975897264,0.1874159798139614,-0.1874159798139614
36,2019-01-01,2019-12-01,2021-01-01,2021-12-01,MEQ,1.1785544962342012,-0.7195829503466006,0.24666783503072487,-0.24666783503072487
37,2019-01-01,2019-12-01,2021-01-01,2021-12-01,MENS,1.2418731507976866,-0.6532914377877476,0.25284684633606636,-0.25284684633606636
38,2019-01-01,2019-12-01,2021-01-01,2021-12-01,DMINMAX,1.221578541294391,-0.68702724315161,0.2599417716484822,-0.2599417716484822
39,2019-01-01,2019-12-01,2021-01-01,2021-12-01,MADD,0.9888296453140754,-0.7099986898669314,0.21055357260202656,-0.21055357260202656
